  0.43   0.36   1.32   1.40   0.90
  0.34   0.09   1.46   1.19   0.37
  0.89   0.70   1.29   1.05   0.64
  0.45   0.35   1.11   1.18   0.14
  0.39   0.04   1.35   1.27   0.55
  0.84   0.26   1.24   1.05   0.20
  0.77   0.72   1.15   1.39   0.53
  0.87   0.86   1.26   1.08   0.05
  0.96   0.31   1.03   1.36   0.82
  0.68   0.39   1.35   1.44   0.17
  0.73   0.47   1.48   1.28   0.16
  0.37   0.12   1.30   1.16   0.43
  0.91   0.63   1.41   1.50   0.00
  0.62   0.49   1.44   1.17   0.88
  0.29   0.29   1.48   1.29   0.11
  0.98   0.88   1.45   1.07   0.57
  0.57   0.24   1.14   1.13   0.85
  1.00   0.75   1.23   1.25   0.25
  0.85   0.54   1.33   1.38   0.95
  0.56   0.54   1.08   1.37   0.58
  0.69   0.11   1.13   1.23   0.38
  0.80   0.06   1.22   1.43   0.08
  0.21   0.05   1.21   1.33   0.66
  0.48   0.01   1.07   1.26   0.92
  0.79   0.17   1.08   1.09   0.09
  0.59   0.41   1.25   1.13   0.51
